time,PI
2021-09-09 00:00:00+00:00,0.7823342978648442
2021-09-10 00:00:00+00:00,0.7945155665310877
2021-09-11 00:00:00+00:00,0.7905349474100708
2021-09-12 00:00:00+00:00,0.7517388260929088
2021-09-13 00:00:00+00:00,
2021-09-14 00:00:00+00:00,
2021-09-15 00:00:00+00:00,0.6194922845092496
2021-09-16 00:00:00+00:00,0.7158962088442907
2021-09-17 00:00:00+00:00,0.7203405354222298
2021-09-18 00:00:00+00:00,
2021-09-19 00:00:00+00:00,
2021-09-20 00:00:00+00:00,0.6914041311210297
2021-09-21 00:00:00+00:00,0.8733240044880327
2021-09-22 00:00:00+00:00,0.7494254270648798
2021-09-23 00:00:00+00:00,
2021-09-24 00:00:00+00:00,
2021-09-25 00:00:00+00:00,0.8738069039031858
2021-09-26 00:00:00+00:00,0.7273247365464995
2021-09-27 00:00:00+00:00,0.7857505665067314
2021-09-28 00:00:00+00:00,0.7938350896622995
2021-09-29 00:00:00+00:00,
2021-09-30 00:00:00+00:00,
2021-10-01 00:00:00+00:00,1.2006089496992813
2021-10-02 00:00:00+00:00,
2021-10-03 00:00:00+00:00,0.6785467761297853
2021-10-04 00:00:00+00:00,
2021-10-05 00:00:00+00:00,0.4811325244292067
2021-10-06 00:00:00+00:00,
2021-10-07 00:00:00+00:00,
2021-10-08 00:00:00+00:00,0.6173418775793089
2021-10-09 00:00:00+00:00,
2021-10-10 00:00:00+00:00,0.5904790431016746
2021-10-11 00:00:00+00:00,0.6345750459957261
2021-10-12 00:00:00+00:00,
2021-10-13 00:00:00+00:00,0.7450970489364306
2021-10-14 00:00:00+00:00,
2021-10-15 00:00:00+00:00,
2021-10-16 00:00:00+00:00,
2021-10-17 00:00:00+00:00,
2021-10-18 00:00:00+00:00,0.65102315897192
2021-10-19 00:00:00+00:00,0.7193164691867555
2021-10-20 00:00:00+00:00,
2021-10-21 00:00:00+00:00,
2021-10-22 00:00:00+00:00,
2021-10-23 00:00:00+00:00,
2021-10-24 00:00:00+00:00,
2021-10-25 00:00:00+00:00,
2021-10-26 00:00:00+00:00,
2021-10-27 00:00:00+00:00,
2021-10-28 00:00:00+00:00,
2021-10-29 00:00:00+00:00,
2021-10-30 00:00:00+00:00,
2021-10-31 00:00:00+00:00,
2021-11-01 00:00:00+00:00,
2021-11-02 00:00:00+00:00,
2021-11-03 00:00:00+00:00,
2021-11-04 00:00:00+00:00,
2021-11-05 00:00:00+00:00,
2021-11-06 00:00:00+00:00,
2021-11-07 00:00:00+00:00,
2021-11-08 00:00:00+00:00,
2021-11-09 00:00:00+00:00,
2021-11-10 00:00:00+00:00,0.03597046593487665
2021-11-11 00:00:00+00:00,0.5169856966120078
